Bulgarian	English	Bulgarian_Example	English_Example
каже	say	Какво ще кажеш?	What will you say?
помогне	help	Можеш ли да помогнеш?	Can you help?
ниска	low	Цената е ниска.	The price is low.
Онлайн	line	Застани на опашката.	Stand in line.
различава	differ	Мненията се различават.	Opinions differ.
ред	turn	Сега е моя ред.	Now it's my turn.
кауза	cause	Каква е причината?	What's the cause?
много	much	Много работа.	Much work.
означава	mean	Какво означава това?	What does this mean?
преди	before	Преди да заминеш.	Before you leave.
ход	move	Направи следващия ход.	Make the next move.
полето	right	Това е правилно.	This is right.
момче	boy	Момчето играе футбол.	The boy plays football.
стар	old	Това е стара къща.	This is an old house.
твърде	too	Твърде е горещо.	It's too hot.
същата	same	Същата история отново.	The same story again.
тя	she	Тя е моя сестра.	She is my sister.
всички	all	Всички са тук.	Everyone is here.
там	there	Той е там.	He is there.
когато	when	Кога ще дойдеш?	When will you come?
нагоре	up	Качи се нагоре.	Go up.
употреба	use	Използвай молива.	Use the pencil.
си	your	Това е твоята книга.	This is your book.
начин	way	По този начин.	This way.
за	about	Говорим за работа.	We're talking about work.
много	many	Много хора дойдоха.	Many people came.
след това	then	След това отидохме у дома.	Then we went home.
тях	them	Видях ги вчера.	I saw them yesterday.
напиши	write	Напиши писмо.	Write a letter.
би	would	Бих искал да дойда.	I would like to come.
като	like	Обичам музика като тази.	I like music like this.
така	so	Така е по-добре.	So it's better.
тези	these	Тези книги са интересни.	These books are interesting.
си	her	Това е нейната чанта.	This is her bag.
дълго	long	Дълга разходка.	A long walk.
направи	make	Направи кафе.	Make coffee.
нещо	thing	Това е странно нещо.	This is a strange thing.
виждам	see	Виждам те утре.	I'll see you tomorrow.
го	him	Видях го в парка.	I saw him in the park.
две	two	Имам две кучета.	I have two dogs.
има	has	Той има нова кола.	He has a new car.
потърсите	look	Погледни навън.	Look outside.
още	more	Искам още кафе.	I want more coffee.
дни	day	Хубав ден днес.	Nice day today.
може	could	Можех да дойда.	I could come.
отидете	go	Иди в магазина.	Go to the store.
дойде	come	Ела при мен.	Come to me.
направих	did	Направих домашното.	I did the homework.
брой	number	Каква е твоя номер?	What's your number?
звучи	sound	Това звучи добре.	That sounds good.
не	no	Не, благодаря.	No, thank you.
най-	most	Най-хубавата песен.	The most beautiful song.
хора	people	Много хора са тук.	Many people are here.
ми	my	Това е моето име.	This is my name.
над	over	Самолетът лети над града.	The plane flies over the city.
знаете	know	Знаеш ли отговора?	Do you know the answer?
вода	water	Пия вода всеки ден.	I drink water every day.
от	than	По-висок от мен.	Taller than me.
повикване	call	Обади ми се утре.	Call me tomorrow.
първи	first	Това е първия път.	This is the first time.
които	who	Хората, които работят тук.	The people who work here.
може	may	Може да дойда късно.	I may come late.
надолу	down	Слез надолу.	Go down.
страна	side	От тази страна.	From this side.
бил	been	Бил съм в Париж.	I've been to Paris.
сега	now	Сега съм готов.	I'm ready now.
намерите	find	Намери ключа.	Find the key.
главата	head	Боли ме главата.	My head hurts.
стоя	stand	Стой тук.	Stand here.
собствена	own	Това е моя собствена кола.	This is my own car.
страница	page	Прочети тази страница.	Read this page.
трябва	should	Трябва да отидеш.	You should go.
страна	country	България е красива страна.	Bulgaria is a beautiful country.
Намерени	found	Намерих ключа.	I found the key.
отговор	answer	Знаеш ли отговора?	Do you know the answer?
училище	school	Децата отиват на училище.	Children go to school.
растат	grow	Растенията растат бързо.	Plants grow fast.
проучване	study	Уча за изпита.	I study for the exam.
още	still	Още съм тук.	I'm still here.
научат	learn	Уча нови думи.	I learn new words.
растителна	plant	Засади растение в градината.	Plant a flower in the garden.
капак	cover	Покрий храната.	Cover the food.
храна	food	Обичам българската храна.	I love Bulgarian food.
слънце	sun	Слънцето грее ярко.	The sun shines brightly.
четири	four	Имам четири котки.	I have four cats.
между	between	Между нас казано.	Between you and me.
състояние	state	В добро състояние.	In good condition.
запази	keep	Запази тайната.	Keep the secret.
око	eye	Имаш красиви очи.	You have beautiful eyes.
Никога не	never	Никога не казвай никога.	Never say never.
последно	last	Това е последният път.	This is the last time.
нека	let	Нека да отидем.	Let's go.
Мислех	thought	Мислех за теб.	I thought about you.
град	city	София е голям град.	Sofia is a big city.
дърво	tree	Дървото е високо.	The tree is tall.
пресекат	cross	Пресечи улицата.	Cross the street.
ферма	farm	Работи във фермата.	He works on the farm.
Трудно	hard	Това е трудна задача.	This is a hard task.
начало	start	В началото на филма.	At the start of the movie.
мощ	might	Може би ще дойде.	He might come.
история	story	Разкажи ми история.	Tell me a story.
трион	saw	Видях те вчера.	I saw you yesterday.
Доколкото	far	Доколкото знам.	As far as I know.
море	sea	Морето е синьо.	The sea is blue.
изготвя	draw	Нарисувай картина.	Draw a picture.
наляво	left	Завий наляво.	Turn left.
късно	late	Закъснях за срещата.	I'm late for the meeting.
Run	run	Тичам всяка сутрин.	I run every morning.
не	don't	Не правя това.	I don't do that.
докато	while	Докато работя.	While I work.
натиснете	press	Натисни копчето.	Press the button.
в близост	close	Затвори вратата.	Close the door.
нощ	night	Лека нощ!	Good night!
недвижими	real	Това е истинска история.	This is a real story.
живот	life	Животът е красив.	Life is beautiful.
малцина	few	Малко хора знаят това.	Few people know this.
на север	north	На север от града.	North of the city.
книга	book	Чета интересна книга.	I'm reading an interesting book.
извършване	carry	Нося тежка чанта.	I carry a heavy bag.
взе	took	Взе ключа от масата.	He took the key from the table.
науката	science	Науката е важна.	Science is important.
яде	eat	Ям здравословна храна.	I eat healthy food.
стая	room	Стаята е голяма.	The room is big.
приятел	friend	Той е мой приятел.	He is my friend.
започна	began	Дъждът започна да вали.	The rain began to fall.
идея	idea	Това е добра идея.	This is a good idea.
риба	fish	Рибата плува в реката.	The fish swims in the river.
планина	mountain	Планината е висока.	The mountain is high.
спрете	stop	Спри колата.	Stop the car.
веднъж	once	Веднъж имах куче.	I once had a dog.
база	base	Базата е тук.	The base is here.
Слушайте	hear	Чувам музика.	I hear music.
кон	horse	Конят галопира.	The horse gallops.
нарязани	cut	Нарежи хляба.	Cut the bread.
сигурен	sure	Сигурен ли си?	Are you sure?
гледате	watch	Гледам телевизия.	I watch television.
цвят	color	Какъв е любимия ти цвят?	What's your favorite color?
Лицето	face	Умий си лицето.	Wash your face.
дърво	wood	Масата е от дърво.	The table is made of wood.
Основната	main	Главната улица.	The main street.
отворен	open	Отвори прозореца.	Open the window.
изглежда	seem	Изглежда доволен.	He seems happy.
заедно	together	Работим заедно.	We work together.
Следващата	next	Следващата седмица.	Next week.
бяло	white	Бялата риза.	The white shirt.
деца	children	Децата играят.	The children play.
започне	begin	Започни да работиш.	Begin to work.
имам	got	Получих подарък.	I got a gift.
ходи	walk	Разхождам се в парка.	I walk in the park.
Например	example	Например, като теб.	For example, like you.
облекчи	ease	Олекоти болката.	Ease the pain.
хартия	paper	Напиши на хартия.	Write on paper.
група	group	Група приятели.	A group of friends.
винаги	always	Винаги съм тук.	I'm always here.
музика	music	Обичам класическа музика.	I love classical music.
тези	those	Тези хора са мили.	Those people are nice.
и двете	both	И двете опции са добри.	Both options are good.
марка	mark	Остави марка на страницата.	Mark the page.
често	often	Често ходя на кино.	I often go to the cinema.
писмо	letter	Получих писмо.	I received a letter.
докато	until	Чакай докато дойда.	Wait until I come.
мили	mile	Километър е различен от миля.	A kilometer is different from a mile.
река	river	Реката тече бързо.	The river flows fast.
кола	car	Колата е нова.	The car is new.
фута	feet	Стой на краката си.	Stand on your feet.
грижи	care	Грижа се за теб.	I care for you.
втора	second	Това е втория път.	This is the second time.
достатъчно	enough	Имам достатъчно пари.	I have enough money.
обикновен	plain	Обикновен хляб.	Plain bread.
момиче	girl	Момичето пее.	The girl sings.
Обичайната	usual	Обичайното време.	The usual time.
млад	young	Младият мъж работи.	The young man works.
готова	ready	Готов ли си?	Are you ready?
горе	above	Над облаците.	Above the clouds.
някога	ever	Бил ли си някога в Париж?	Have you ever been to Paris?
червено	red	Червена роза.	A red rose.
списък	list	Направи списък за пазаруване.	Make a shopping list.
макар	though	Макар и да е трудно.	Though it's difficult.
почувствате	feel	Чувствам се добре.	I feel good.
приказки	talk	Говорим за времето.	We talk about the weather.
птица	bird	Птицата лети.	The bird flies.
скоро	soon	Скоро ще дойда.	I'll come soon.
тяло	body	Спортът е добър за тялото.	Sports are good for the body.
куче	dog	Кучето лае.	The dog barks.
семейство	family	Семейството е важно.	Family is important.
директен	direct	Директен полет.	A direct flight.
представляват	pose	Позирай за снимката.	Pose for the picture.
напусне	leave	Тръгвам в 5 часа.	I leave at 5 o'clock.
песен	song	Песента е красива.	The song is beautiful.
измерва	measure	Измери дължината.	Measure the length.
врата	door	Затвори вратата.	Close the door.
продукт	product	Новият продукт е добър.	The new product is good.
черен	black	Черната котка спи.	The black cat sleeps.
кратко	short	Краткото разстояние.	The short distance.
цифра	numeral	Напиши числото.	Write the numeral.
клас	class	Класът започва в 9 часа.	Class starts at 9 o'clock.
вятър	wind	Вятърът духа силно.	The wind blows hard.
въпрос	question	Имам въпрос.	I have a question.
се случи	happen	Какво се случи?	What happened?
пълен	complete	Завърши задачата.	Complete the task.
кораб	ship	Корабът пътува.	The ship travels.
област	area	Тази област е красива.	This area is beautiful.
половината	half	Половината от торта.	Half of the cake.
рок	rock	Рок музика.	Rock music.
За	order	Поръчай храна.	Order food.
пожар	fire	Огънят гори.	The fire burns.
на юг	south	На юг от града.	South of the city.
проблем	problem	Има проблем.	There's a problem.
парче	piece	Парче торта.	A piece of cake.
каза	told	Казах му истината.	I told him the truth.
Знаех	knew	Знаех отговора.	I knew the answer.
мине	pass	Минах покрай къщата.	I passed by the house.
тъй като	since	Тъй като е дъждовно.	Since it's rainy.
отгоре	top	На върха на планината.	At the top of the mountain.
Цялата	whole	Цялата история.	The whole story.
цар	king	Царят управлява.	The king rules.
улица	street	Живея на тази улица.	I live on this street.
инч	inch	Един инч дължина.	One inch long.
размножават	multiply	Умножи числата.	Multiply the numbers.
нищо	nothing	Нищо не се случи.	Nothing happened.
курс	course	Курс по английски.	An English course.
престой	stay	Остани тук.	Stay here.
колело	wheel	Колелото се върти.	The wheel turns.
пълен	full	Пълна чаша вода.	A full glass of water.
сила	force	Използвай силата.	Use the force.
син	blue	Синьото небе.	The blue sky.
обект	object	Странен обект.	A strange object.
реши	decide	Реши бързо.	Decide quickly.
повърхност	surface	Гладката повърхност.	The smooth surface.
дълбоко	deep	Дълбокото езеро.	The deep lake.
луна	moon	Луната свети.	The moon shines.
остров	island	Малкият остров.	The small island.
крак	foot	Боли ме кракът.	My foot hurts.
система	system	Компютърната система.	The computer system.
зает	busy	Зает съм с работа.	I'm busy with work.
тест	test	Теста е утре.	The test is tomorrow.
рекорд	record	Записах песента.	I recorded the song.
лодка	boat	Лодката плава.	The boat sails.
обща	common	Обща практика.	Common practice.
злато	gold	Златният пръстен.	The gold ring.
възможно	possible	Възможно ли е?	Is it possible?
самолет	plane	Самолетът излетя.	The plane took off.
вместо	stead	Вместо мен.	Instead of me.
сухо	dry	Сухото време.	The dry weather.
Чудя	wonder	Чудя се какво прави.	I wonder what he's doing.
смях	laugh	Смея се на шегата.	I laugh at the joke.
хиляди	thousand	Хиляди хора.	Thousands of people.
преди	ago	Преди година.	A year ago.
завтече	ran	Тичах бързо.	I ran fast.
проверите	check	Провери отговора.	Check the answer.
игра	game	Играем футбол.	We play a game.
форма	shape	Формата на кръга.	The shape of the circle.
приравняват	equate	Приравни числата.	Equate the numbers.
горещ	hot	Горещата супа.	The hot soup.
Мис	miss	Липсваш ми.	I miss you.
предявен	brought	Донесох подарък.	I brought a gift.
топлина	heat	Топлината на слънцето.	The heat of the sun.
сняг	snow	Снегът пада.	The snow falls.
гума	tire	Гумата на колата.	The tire of the car.
донесе	bring	Донеси ми вода.	Bring me water.
Да	yes	Да, съгласен съм.	Yes, I agree.
далечен	distant	Далечната планета.	The distant planet.
попълнете	fill	Попълни формуляра.	Fill out the form.
изток	east	На изток от града.	East of the city.
боя	paint	Боядисай стената.	Paint the wall.
език	language	Уча нов език.	I'm learning a new language.
сред	among	Сред приятелите.	Among friends.
единица	unit	Единица за измерване.	A unit of measurement.
мощност	power	Електрическата мощност.	The electric power.
град	town	Малкият град.	The small town.
глоба	fine	Платих глоба.	I paid a fine.
определен	certain	Определен човек.	A certain person.
лети	fly	Птицата лети.	The bird flies.
падне	fall	Листата падат.	The leaves fall.
доведе	lead	Води пътя.	Lead the way.
вик	cry	Детето плаче.	The child cries.
тъмно	dark	Тъмната нощ.	The dark night.
машина	machine	Машината работи.	The machine works.
бележка	note	Остави бележка.	Leave a note.
изчакайте	wait	Чакай тук.	Wait here.
план	plan	Направи план.	Make a plan.
фигура	figure	Геометрична фигура.	A geometric figure.
звезда	star	Звездата свети.	The star shines.
кутия	box	Кутията е празна.	The box is empty.
съществително	noun	Това е съществително име.	This is a noun.
поле	field	Полето е зелено.	The field is green.
почивка	rest	Почивам след работа.	I rest after work.
правилно	correct	Правилният отговор.	The correct answer.
състояние	able	Способен съм да помогна.	I'm able to help.
лира	pound	Фунт стерлинги.	Pound sterling.
Готово	done	Готово с работата.	Done with work.
красота	beauty	Красотата на природата.	The beauty of nature.
диск	drive	Кара колата.	Drive the car.
стоеше	stood	Стоях на опашка.	I stood in line.
съдържа	contain	Кутията съдържа книги.	The box contains books.
пред	front	Пред къщата.	In front of the house.
преподават	teach	Преподавам английски.	I teach English.
седмица	week	Тази седмица работя.	I work this week.
окончателния	final	Финалният резултат.	The final result.
даде	gave	Дадох му подарък.	I gave him a gift.
зелено	green	Зеленото дърво.	The green tree.
о	oh	О, забравих!	Oh, I forgot!
бърз	quick	Бърза разходка.	A quick walk.
разработят	develop	Развивам нови идеи.	I develop new ideas.
океана	ocean	Океанът е дълбок.	The ocean is deep.
топло	warm	Топлото време.	The warm weather.
безплатно	free	Безплатен достъп.	Free access.
минути	minute	Една минута, моля.	One minute, please.
силен	strong	Силният мъж.	The strong man.
специален	special	Специален ден.	A special day.
ума	mind	Променя мнението си.	Change your mind.
зад	behind	Зад къщата.	Behind the house.
ясно	clear	Ясното небе.	The clear sky.
опашка	tail	Опашката на кучето.	The dog's tail.
производство	produce	Произвеждам храна.	I produce food.
Всъщност	fact	Всъщност е вярно.	It's actually a fact.
пространство	space	Космическото пространство.	Outer space.
Чух	heard	Чух новината.	I heard the news.
Най-добрият	best	Най-добрата песен.	The best song.
часа	hour	Един час работа.	One hour of work.
по-добре	better	По-добре от вчера.	Better than yesterday.
вярно	true	Истинската история.	The true story.
по време на	during	По време на урока.	During the lesson.
сто	hundred	Сто души.	One hundred people.
пет	five	Пет ябълки.	Five apples.
Спомням си	remember	Спомням си това.	I remember that.
стъпка	step	Направи стъпка напред.	Take a step forward.
началото	early	В ранните часове.	In the early hours.
държа	hold	Държи моята ръка.	Hold my hand.
west	west	На запад от града.	West of the city.
земята	ground	На земята има листа.	There are leaves on the ground.
интерес	interest	Интересът ми е музика.	My interest is music.
достигне	reach	Достигни до върха.	Reach the top.
бързо	fast	Карай бързо.	Drive fast.
глагол	verb	Това е глагол.	This is a verb.
пея	sing	Пея песен.	I sing a song.
слушате	listen	Слушай музиката.	Listen to the music.
шест	six	Шест котки.	Six cats.
маса	table	Масата е дървена.	The table is wooden.
пътуване	travel	Пътувам в чужбина.	I travel abroad.
по-малко	less	По-малко работа.	Less work.
сутрин	morning	Добро утро!	Good morning!
десет	ten	Десет пръста.	Ten fingers.
прост	simple	Проста задача.	A simple task.
няколко	several	Няколко дни.	Several days.
гласна	vowel	Гласна буква.	A vowel letter.
към	toward	Към центъра.	Toward the center.
война	war	Войната завърши.	The war ended.
лежеше	lay	Лежах на леглото.	I lay on the bed.
срещу	against	Срещу правилата.	Against the rules.
модел	pattern	Модел на дрехи.	A clothing pattern.
бавен	slow	Бавна музика.	Slow music.
център	center	В центъра на града.	In the center of the city.
обичам	love	Обичам те.	I love you.
човек	person	Добър човек.	A good person.
пари	money	Спестявам пари.	I save money.
послужи	serve	Сервирай храната.	Serve the food.
се появи	appear	Появи се внезапно.	He appeared suddenly.
път	road	Дългият път.	The long road.
Карта	map	Картата показва пътя.	The map shows the way.
дъжд	rain	Дъждът спря.	The rain stopped.
правило	rule	Следвай правилата.	Follow the rules.
управлява	govern	Управлява страната.	He governs the country.
дръпнете	pull	Дръпни вратата.	Pull the door.
студено	cold	Студеното време.	The cold weather.
предизвестие	notice	Забелязах промяната.	I noticed the change.
глас	voice	Красивият глас.	The beautiful voice.
енергия	energy	Енергията на младостта.	The energy of youth.
лов	hunt	Ловува в гората.	He hunts in the forest.
вероятен	probable	Вероятно ще дойде.	He'll probably come.
легло	bed	Леглото е удобно.	The bed is comfortable.
брат	brother	Моят брат работи.	My brother works.
яйце	egg	Варено яйце.	A boiled egg.
езда	ride	Яздя кон.	I ride a horse.
клетка	cell	Клетката се дели.	The cell divides.
Вярвам	believe	Вярвам в теб.	I believe in you.
може би	perhaps	Може би утре.	Perhaps tomorrow.
вземете	pick	Избери ябълка.	Pick an apple.
внезапна	sudden	Внезапна промяна.	A sudden change.
брои	count	Брой до десет.	Count to ten.
квадрат	square	Квадратна форма.	A square shape.
причина	reason	Каква е причината?	What's the reason?
дължина	length	Дължината на реката.	The length of the river.
представляват	represent	Представлявам компанията.	I represent the company.
изкуство	art	Изкуството е красиво.	Art is beautiful.
Заглавие	subject	Предметът в училище.	The subject in school.
област	region	Планинската област.	The mountain region.
размер	size	Размерът на обувката.	The size of the shoe.
варира	vary	Цените варират.	Prices vary.
уредят	settle	Уреди проблема.	Settle the problem.
говори	speak	Говоря български.	I speak Bulgarian.
тегло	weight	Теглото на багажа.	The weight of the luggage.
общо	general	Общо мнение.	General opinion.
лед	ice	Ледът се топи.	The ice melts.
материя	matter	Това не е важно.	This doesn't matter.
кръг	circle	Нарисувай кръг.	Draw a circle.
двойка	pair	Двойка обувки.	A pair of shoes.
включва	include	Включва всичко.	It includes everything.
разделяй	divide	Раздели торта на части.	Divide the cake into pieces.
сричка	syllable	Думата има три срички.	The word has three syllables.
чувствах	felt	Чувствах се добре.	I felt good.
бона	grand	Голяма сума пари.	A grand sum of money.
топка	ball	Топката е кръгла.	The ball is round.
още	yet	Още не съм готов.	I'm not ready yet.
вълна	wave	Вълните на морето.	The waves of the sea.
пуснете	drop	Пусни топката.	Drop the ball.
сърце	heart	Сърцето ми бие.	My heart beats.
съм	am	Аз съм учител.	I am a teacher.
настоящето	present	Настоящият момент.	The present moment.
тежък	heavy	Тежката кутия.	The heavy box.
танц	dance	Танцуваме на парти.	We dance at the party.
двигател	engine	Двигателят работи.	The engine works.
позиция	position	Позицията на играча.	The player's position.
ръка	arm	Ръката ме боли.	My arm hurts.
широк	wide	Широката река.	The wide river.
платно	sail	Платната на кораба.	The ship's sail.
материали	material	Строителни материали.	Building materials.
фракция	fraction	Една втора част.	One half fraction.
гора	forest	Гората е гъста.	The forest is dense.
седя	sit	Седя на стола.	I sit on the chair.
раса	race	Надпреварата започна.	The race began.
прозорец	window	Отвори прозореца.	Open the window.
магазин	store	Магазинът е затворен.	The store is closed.
лято	summer	Лятото е горещо.	Summer is hot.
влак	train	Влакът пристигна.	The train arrived.
сън	sleep	Спя осем часа.	I sleep eight hours.
докаже	prove	Докажи истината.	Prove the truth.
самотен	lone	Самотна звезда.	A lone star.
крак	leg	Кракът ме боли.	My leg hurts.
упражнение	exercise	Правя упражнения.	I do exercises.
стена	wall	Стената е висока.	The wall is high.
улова	catch	Хвани топката.	Catch the ball.
монтиране	mount	Качи се на планината.	Mount the mountain.
Иска	wish	Пожелавам си късмет.	I wish for luck.
небе	sky	Небето е синьо.	The sky is blue.
борда	board	Дъската за писане.	The writing board.
радост	joy	Радостта от успеха.	The joy of success.
зимата	winter	Зимата е студена.	Winter is cold.
сб	sat	Седях на пейката.	I sat on the bench.
писмен	written	Писмено съобщение.	A written message.
див	wild	Дивото животно.	The wild animal.
инструмент	instrument	Музикален инструмент.	A musical instrument.
съхраняват	kept	Пазя спомените.	I kept the memories.
стъкло	glass	Чашата от стъкло.	The glass cup.
трева	grass	Тревата е зелена.	The grass is green.
крава	cow	Кравата дава мляко.	The cow gives milk.
работа	job	Работата ми е интересна.	My job is interesting.
ръб	edge	Ръбът на масата.	The edge of the table.
знак	sign	Пътният знак.	The road sign.
посещение	visit	Посетих приятел.	I visited a friend.
минало	past	В миналото.	In the past.
мека	soft	Мека възглавница.	A soft pillow.
забавно	fun	Забавна игра.	A fun game.
ярък	bright	Ярката светлина.	The bright light.
газ	gas	Природният газ.	Natural gas.
Прогноза за времето	weather	Времето е хубаво.	The weather is nice.
месеца	month	Този месец работя много.	I work a lot this month.
милиона	million	Един милион души.	One million people.
понесе	bear	Мечката спи.	The bear sleeps.
завършеност	finish	Завърши проекта.	Finish the project.
щастлив	happy	Щастлив рожден ден!	Happy birthday!
Надявам се,	hope	Надявам се да успея.	I hope to succeed.
цвете	flower	Цветето мирише хубаво.	The flower smells nice.
облече	clothe	Облечи се топло.	Dress warmly.
странен	strange	Странна история.	A strange story.
изчезнал	gone	Той си е отишъл.	He is gone.
търговия	trade	Търговията процъфтява.	Trade flourishes.
мелодия	melody	Красива мелодия.	A beautiful melody.
пътуване	trip	Пътуването беше хубаво.	The trip was nice.
офис	office	Офисът е на третия етаж.	The office is on the third floor.
получавате	receive	Получих твоето писмо.	I received your letter.
ред	row	Седя на първия ред.	I sit in the first row.
устата	mouth	Отвори устата си.	Open your mouth.
Точната	exact	Точното време.	The exact time.
символ	symbol	Символът на мира.	The symbol of peace.
умре	die	Растението умря.	The plant died.
-малко	least	Най-малко десет души.	At least ten people.
беда	trouble	Имам проблем.	I have trouble.
вик	shout	Викай силно.	Shout loudly.
